Component, CC
net.sf.freecol.common.model.EquipmentType,29
net.sf.freecol.client.gui.i18n.TurnSelector,1
net.sf.freecol.common.util.XMLStream,3
net.sf.freecol.client.gui.action.ColopediaSkillAction,2
net.sf.freecol.client.gui.action.ReportNavalAction,10
net.sf.freecol.common.networking.BuyMessage,11
net.sf.freecol.common.resources.ChipResource,9
net.sf.freecol.common.networking.BuildColonyMessage,19
net.sf.freecol.client.gui.action.RenameAction,9
net.sf.freecol.common.ServerInfo,2
net.sf.freecol.common.networking.DisembarkMessage,10
net.sf.freecol.client.gui.panel.CaptureGoodsDialog,17
net.sf.freecol.common.networking.ChatMessage,9
net.sf.freecol.common.util.RandomChoice,6
net.sf.freecol.common.networking.InciteMessage,14
net.sf.freecol.client.gui.FrameMotionListener,1
net.sf.freecol.common.resources.Video,1
net.sf.freecol.client.gui.panel.SpecificationDialog,5
net.sf.freecol.client.gui.panel.ProductionMultiplesLabel,11
net.sf.freecol.client.gui.panel.InfoPanel,40
net.sf.freecol.client.gui.action.ReportHighScoresAction,8
net.sf.freecol.common.networking.MoveToMessage,5
net.sf.freecol.client.gui.action.ZoomInAction,15
net.sf.freecol.tools.ColonizationMapReader,5
net.sf.freecol.server.model.ServerColonyTile,16
net.sf.freecol.client.gui.action.EuropeAction,9
net.sf.freecol.common.networking.ScoutIndianSettlementMessage,16
net.sf.freecol.client.gui.panel.MarketLabel,17
net.sf.freecol.common.model.EuropeanNationType,35
net.sf.freecol.client.gui.panel.EditOptionDialog,3
net.sf.freecol.client.gui.panel.ReportLabourDetailPanel,7
net.sf.freecol.client.gui.panel.InPortPanel,7
net.sf.freecol.client.gui.panel.DumpCargoDialog,10
net.sf.freecol.common.model.pathfinding.CostDeciders,16
net.sf.freecol.server.ai.AIMain,36
net.sf.freecol.server.ai.CacheEntryComparator,3
net.sf.freecol.client.gui.action.SaveAndQuitAction,12
net.sf.freecol.client.gui.action.MiniMapZoomOutAction,11
net.sf.freecol.common.model.HistoryEvent,13
net.sf.freecol.common.model.FreeColGameObjectType,37
net.sf.freecol.client.gui.panel.ChooseFoundingFatherDialog,20
net.sf.freecol.client.gui.panel.QuickActionMenu,20
net.sf.freecol.common.networking.UpdateMarketMessage,2
net.sf.freecol.common.networking.ChooseFoundingFatherMessage,4
net.sf.freecol.client.gui.TerrainCursor,3
net.sf.freecol.common.model.Nameable,3
net.sf.freecol.client.gui.plaf.FreeColMenuBarUI,6
net.sf.freecol.common.model.CombatModel,9
net.sf.freecol.common.model.Map,111
net.sf.freecol.client.gui.panel.ReportPanel,39
net.sf.freecol.client.gui.sound.SoundLibrary,1
net.sf.freecol.common.model.Tile,137
net.sf.freecol.client.gui.panel.FreeColDialog,28
net.sf.freecol.client.gui.panel.ColopediaGameObjectTypePanel,7
net.sf.freecol.client.gui.panel.MapEditorTransformPanel,42
net.sf.freecol.client.gui.action.ColopediaNationTypeAction,2
net.sf.freecol.client.gui.panel.ReportExplorationPanel,10
net.sf.freecol.client.gui.action.ReconnectAction,6
net.sf.freecol.common.networking.NetworkReplyObject,4
net.sf.freecol.tools.MergeTranslations,5
net.sf.freecol.client.gui.action.ReportLabourAction,11
net.sf.freecol.client.gui.i18n.ZeroOneNumberRule,5
net.sf.freecol.common.option.UnitListOption,9
net.sf.freecol.client.gui.plaf.FreeColToolTipUI,10
net.sf.freecol.client.gui.panel.EmigrationPanel,9
net.sf.freecol.client.gui.option.BooleanOptionUI,12
net.sf.freecol.common.model.Operand,11
net.sf.freecol.common.networking.AskSkillMessage,14
net.sf.freecol.server.ai.goal.GoalConstants,3
net.sf.freecol.server.ai.mission.BuildColonyMission,81
net.sf.freecol.client.gui.panel.ReportColonyPanel,62
net.sf.freecol.common.option.LanguageOption,18
net.sf.freecol.client.gui.action.ColopediaAction,17
net.sf.freecol.server.ai.AIObject,21
net.sf.freecol.common.networking.Message,12
net.sf.freecol.client.gui.action.UnloadAction,24
net.sf.freecol.client.gui.action.ReportContinentalCongressAction,10
net.sf.freecol.client.gui.panel.EndTurnDialog,15
net.sf.freecol.server.ai.mission.WishRealizationMission,35
